Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-24 12:21:37,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:40,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:43,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:21:44,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:21:46,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:21:47,"person, person, person, person, tie, chair",-7.2492,112.7508,,
2025-04-24 12:21:47,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:21:48,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:21:48,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:49,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:49,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:50,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:51,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:53,"person, person",-7.2492,112.7508,,
2025-04-24 12:21:53,person,-7.2492,112.7508,,
2025-04-24 12:21:54,person,-7.2492,112.7508,,
2025-04-24 12:21:55,person,-7.2492,112.7508,,
2025-04-24 12:21:55,person,-7.2492,112.7508,,
2025-04-24 12:21:56,person,-7.2492,112.7508,,
2025-04-24 12:21:56,person,-7.2492,112.7508,,
2025-04-24 12:21:57,person,-7.2492,112.7508,,
2025-04-24 12:21:58,person,-7.2492,112.7508,,
2025-04-24 12:21:58,person,-7.2492,112.7508,,
2025-04-24 12:21:59,person,-7.2492,112.7508,,
2025-04-24 12:21:59,person,-7.2492,112.7508,,
2025-04-24 12:22:00,person,-7.2492,112.7508,,
2025-04-24 12:22:00,person,-7.2492,112.7508,,
2025-04-24 12:22:01,person,-7.2492,112.7508,,
2025-04-24 12:22:02,person,-7.2492,112.7508,,
2025-04-24 12:22:02,person,-7.2492,112.7508,,
2025-04-24 12:22:03,person,-7.2492,112.7508,,
2025-04-24 12:22:03,person,-7.2492,112.7508,,
2025-04-24 12:22:04,person,-7.2492,112.7508,,
2025-04-24 12:22:04,person,-7.2492,112.7508,,
2025-04-24 12:22:05,person,-7.2492,112.7508,,
2025-04-24 12:22:05,person,-7.2492,112.7508,,
2025-04-24 12:22:06,person,-7.2492,112.7508,,
2025-04-24 12:22:07,person,-7.2492,112.7508,,
2025-04-24 12:22:08,person,-7.2492,112.7508,,
2025-04-24 12:22:08,person,-7.2492,112.7508,,
2025-04-24 12:22:09,person,-7.2492,112.7508,,
2025-04-24 12:22:09,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:10,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:10,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:11,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:12,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:13,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:14,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:14,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:15,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:15,"person, car",-7.2492,112.7508,,
2025-04-24 12:22:16,person,-7.2492,112.7508,,
2025-04-24 12:22:17,person,-7.2492,112.7508,,
2025-04-24 12:22:17,person,-7.2492,112.7508,,
2025-04-24 12:22:18,person,-7.2492,112.7508,,
2025-04-24 12:22:18,person,-7.2492,112.7508,,
2025-04-24 12:22:19,person,-7.2492,112.7508,,
2025-04-24 12:22:19,person,-7.2492,112.7508,,
2025-04-24 12:22:20,person,-7.2492,112.7508,,
2025-04-24 12:22:21,person,-7.2492,112.7508,,
2025-04-24 12:22:22,person,-7.2492,112.7508,,
2025-04-24 12:22:22,person,-7.2492,112.7508,,
2025-04-24 12:22:24,person,-7.2492,112.7508,,
2025-04-24 12:22:24,person,-7.2492,112.7508,,
2025-04-24 12:22:25,"person, car, car",-7.2492,112.7508,,
